
t is 0; x is 0
t is 9.28; x is -0.188397
t is 9.29; x is -0.16972
t is 9.3; x is -0.152008
t is 9.31; x is -0.135266
t is 9.32; x is -0.119494
t is 9.33; x is -0.104695
t is 9.34; x is -0.0908707
t is 9.35; x is -0.0780224
t is 9.36; x is -0.0661511
t is 9.37; x is -0.0552576
t is 9.38; x is -0.0453426
t is 9.39; x is -0.0364066
t is 9.4; x is -0.02845
t is 9.41; x is -0.0214729
t is 9.42; x is -0.0154756
t is 9.43; x is -0.0104582
t is 9.44; x is -0.00642077
t is 9.45; x is -0.00336328
t is 9.46; x is -0.00128579
t is 9.47; x is -0.000188297
t is 9.48; x is -7.08034e-05
t is 9.49; x is -0.00093331
t is 9.5; x is -0.00277581
t is 9.51; x is -0.00559832
t is 9.52; x is -0.0094008
t is 9.53; x is -0.0141832
t is 9.54; x is -0.0199456
t is 9.55; x is -0.0266877
t is 9.56; x is -0.0344095
t is 9.57; x is -0.0431107
t is 9.58; x is -0.052791
t is 9.59; x is -0.0634499
t is 9.6; x is -0.0750868
t is 9.61; x is -0.0877009
t is 9.62; x is -0.101291
t is 9.63; x is -0.115857
t is 9.64; x is -0.131395
t is 9.65; x is -0.147905
t is 9.66; x is -0.165385
t is 9.67; x is -0.183831
t is 9.68; x is -0.203241
t is 9.69; x is -0.22361
t is 9.7; x is -0.244935
t is 9.71; x is -0.26721
t is 9.72; x is -0.290431
t is 9.73; x is -0.31459
t is 9.74; x is -0.339682
t is 9.75; x is -0.365697
t is 9.76; x is -0.392628
t is 9.77; x is -0.420464
t is 9.78; x is -0.449194
t is 9.79; x is -0.478807
t is 9.8; x is -0.50929
t is 9.81; x is -0.540628
t is 9.82; x is -0.572806
t is 9.83; x is -0.605808
t is 9.84; x is -0.639616
t is 9.85; x is -0.674209
t is 9.86; x is -0.709568
t is 9.87; x is -0.745671
t is 9.88; x is -0.782493
t is 9.89; x is -0.82001
t is 9.9; x is -0.858195
t is 9.91; x is -0.897021
t is 9.92; x is -0.936459
t is 9.93; x is -0.976477
t is 9.94; x is -1.01704
t is 9.95; x is -1.05813
t is 9.96; x is -1.09969
t is 9.97; x is -1.1417
t is 9.98; x is -1.18411
t is 9.99; x is -1.22689
